Tangerina,180,128,56,0.6,0.3,15.3,0.4,138,92,10.2,0.4,227.5,0
Tejocote,70,60,52,0.5,0.4,13.1,1.6,251.1,27.4,0,1,0,0
Toronja,246,162,54,0.9,0.2,13.7,1.8,4.9,86.1,16.2,0.2,225.7,11.9
Toronja en gajos,150,150,50,0.8,0.2,12.6,1.7,18.3,51.2,15.9,0.1,208.5,11
Toronja enlatada con jugo,125,125,46,0.9,0.1,11.5,0.5,0,42,11.2,0.3,213.5,11
Toronjas en almibar,127,127,76,0.7,0.2,19.6,0.5,0,27,11.5,0.5,164,19.1
Tuna,250,138,56,1,0.7,13.2,5,6.9,19.3,0,0.4,302.5,0
Tuna cardona,250,138,56,1,0.7,13.2,5,6.9,30.3,0,3.6,302.5,0
Tuna picada,150,150,62,1.1,0.8,14.4,5.4,7.5,21,0,0.5,330,0
Tuna roja,250,138,56,1,0.7,13.2,5,6.9,30.3,0,3.6,302.5,0
Uva,126,86,61,0.6,0.5,15.3,1.1,1.7,9.4,3.4,0.2,158.5,0
Uva blanca,92,87,59,0.6,0.3,15,0.8,8.6,3.8,3.8,0.3,167.2,14.3
Uva con semilla,10,114,76,0.7,0.4,19.6,1,7.8,12.1,4.3,0.3,210.9,18.7
Uva roja,120,114,76,0.7,0.4,19.6,1,7.8,12.1,4.3,0.3,210.9,18.7
Uva sin semilla,92,87,55,0.6,0.3,15,0.9,8.6,3.8,3.8,0.3,167.2,14.3
Uva verde,92,87,55,0.6,0.3,15,0.9,8.6,3.8,3.8,0.3,167.2,14.3
Uva verde sin semilla,92,87,55,0.6,0.3,15,0.9,8.6,3.8,3.8,0.3,167.2,14.3
Uvas enlatadas en agua,123,123,49,0.6,0.2,12.6,0.8,2.5,1,3.7,1.2,131,11.9
Xocoyol,900,225,56,0.5,0.2,14.9,2.9,873,58.5,0,9.7,0,0
Zapote,56,51,68,1.1,0.3,17.1,1.3,20.7,10.1,0,0.5,174.2,0
Zapote amarillo,152,94,74,1.1,0.5,18.8,1,16.9,55.4,0,2,44.1,0
Zapote blanco,152,115,81,2,0.8,18.5,1.4,8.1,41.5,0,0.2,0,0
Zapote borracho,75,45,63,0.6,0.4,16.3,0.5,11.3,18,0,0.3,0,0
Zapote negro,150,93,52,0.7,0.1,13.5,1.1,9.3,77.2,0,1.5,0,0
Zapote negro limpio,115,115,64,0.9,0.1,16.7,1.4,11.5,95.5,0,1.8,0,0
Zarzamora,150,144,75,1,0.9,18.4,5.9,56.2,30.2,0,0.7,282.2,0
Zarzamora congelada sin azúcar,76,76,49,0.9,0.3,11.9,3.8,4.5,2.5,25.7,0.6,105.5,8.1
Zarzamora en almibar,64,64,59,0.9,0.1,14.8,2.2,7,1.8,17.3,0.4,63.3,12.6
