Hojuelas de salvado,21,67,1.8,0.5,16,2.3,0,9.8,2.6,119.7,ND
Hojuelas de salvado con pasas,19,66,1.1,0.4,15.8,1.4,0,6.7,1.6,73.2,ND
Hojuelas de trigo,18,59,1.8,0.3,14.1,0.3,0,7.2,0.8,180.6,ND
Hojuelas de trigo con miel,18,62,1.6,0.4,14.3,1.9,11.9,8.1,2.8,101.3,ND
Hojuelas de trigo integral,16,59,3.5,0.3,11,0.4,0,4.5,4.2,112,ND
Hojuelas de trigo integral con frutos rojos,16,57,1.9,0.2,12.5,0.5,0,9.5,4.1,110,ND
Hojuelas de trigo integral con chispas de yogur,19,64,2.1,0.1,14.7,3.4,0,12,1.5,78.3,ND
Hojuelas de trigo integral con fibra extra,26,50,3.8,1.2,26,16.9,0,1404,60.8,1612,ND
Hojuelas de trigo integral con frutas y yogur,15,57,1,0.4,11.6,0.4,0,3.3,2.1,63.9,ND
Hojuelas de trigo negro,59,54,2,0.4,11.7,1.6,0,4.2,0.5,2.5,ND
"Hojuelas fortificadas de trigo entero, almendras, nueces y miel",15,58,1.5,1.3,11.4,1.3,24.9,39.9,1.7,75.5,ND
Hojuelas avena instantánea con manzana y canela,79,69,1.4,0.8,14,1.4,0,58.1,2,87.2,ND
Hot cake,38,69,2.5,2.3,9.7,0,4.9,81.9,0.7,164.8,ND
Lasagna cruda,20,68,1.9,0.1,14.6,0.4,5,5.2,0.4,0.4,ND
Lasaña cocida,20,68,1.9,0.1,14.6,0.4,5,5.2,0.4,0.4,ND
Macarrón cocido,47,66,2.2,0.3,13.2,0.6,3.3,3.3,0.7,0.3,ND
Macarrón crudo,20,68,1.9,0.1,14.6,0.4,5,5.2,0.4,0.4,ND
Macarrón integral cocido,47,58,2.5,0.3,12.4,1.3,2.3,7,0.5,1.3,ND
Maicena,16,60,0,0,14.4,0,0,0,0,0,ND
Maicena sabor,16,60,0,0,14.4,0,0,0,0,0,ND
Maíz,18,67,2.2,0.9,13,2.2,0,1.5,0.4,0.2,ND
Maíz amarillo,18,67,2.2,0.9,13,2.2,0,1.5,0.4,0.2,ND
Maíz amarillo cocido,18,67,2.2,0.9,13,2.2,0,1.5,0.4,0.2,ND
Maíz azul,18,67,1.5,0.8,13.7,2.2,0,29.3,0.5,0.2,ND
Maíz blanco,18,67,2.2,0.9,13,2.2,0,1.5,0.4,0.2,ND
Maíz blanco cocido,19,68,2.2,0.9,13.3,2.3,0,1.5,0.4,0.2,ND
Maíz cacahuacintle,18,67,2.2,0.9,13,2.2,0,1.5,0.4,0.2,ND
Maíz cacahuacintle,18,67,2.2,0.9,13,2.2,0,1.5,0.4,0.2,ND
Maíz palomero,20,73,2.4,0.9,14.2,2.4,0,3.4,0.4,0.2,ND
Maíz pozolero,54,58,1.8,0.7,13.6,1.5,0,1.1,0.3,9.2,ND
Maizena,16,60,0,0,14.4,0,0,0,0,0,ND
Malanga,60,67,0.9,0.1,15.9,2.5,13.2,25.9,0.3,6.6,ND
Marias cerealé fresa,15,66,1.1,2.1,10.7,ND,ND,ND,ND,63.8,ND
Masa de maíz,45,69,1.6,0.9,14.3,1.5,0,31.5,0.7,0,ND
Masa de maíz amarillo,35,66,1.5,0.8,13.5,1.2,0,30.8,0.6,0,ND
Masa de maíz blanco,45,69,1.6,0.9,14.3,1.5,0,31.5,0.7,0,ND
Masa pasa tortillas,45,69,1.6,0.9,14.3,1.5,0,31.5,0.7,0,ND
Masa Yucatán,40,69,1.8,0.5,14.6,1.4,0,36,0.8,0,ND
Media noche,22,55,2,1,10.5,0.5,0,10,0.5,105,1.5
media noche con ajonjoli,22,55,2,1,10.5,0.5,0,10,0.5,105,1.5
Mijo cocido,57,68,2,0.6,13.6,0.8,0,1.6,0.4,1,0.1
Mijo crudo,15,57,1.7,0.6,10.9,1.3,0,1.2,0.5,0.8,ND
Mueslix con manzana y almendra,18,68,1.7,1.6,13.2,1.5,0,11.1,1.5,87.1,3
Nixtamal,45,69,1.6,0.9,14.3,1.5,0,31.5,0.7,0,ND
Nutritas variedad de sabores,17,67,1.4,1.4,12.3,0.5,0,0,0,99,0.5
Ñame,86,66,1.9,0.1,15.1,0.4,19.8,11.2,0.4,7.7,ND
Palanqueta de amaranto,20,72,3.2,1.7,16.6,0.6,0,0,0,0,11.2
